Chutes a gol 1,Chutes a gol 2,Impedimentos 1,Impedimentos 2,Escanteios 1,Escanteios 2,Chutes fora 1,Chutes fora 2,Faltas 1,Faltas 2,Cartões amarelos 1,Cartões amarelos 2,Cartões vermelhos 1,Cartões vermelhos 2,Gols 1,Gols 2,Posse 1(%),Posse 2(%),Position 1,Position 2
8.0,0.0,6.0,3.0,7.0,1.0,6.0,1.0,8.0,14.0,0.0,5.0,0.0,0.0,3.0,0.0,77.0,23.0,4-3-3,4-3-3
0.0,2.0,0.0,2.0,0.0,4.0,3.0,4.0,19.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,44.0,56.0,3-5-2,3-5-2
4.0,5.0,1.0,5.0,8.0,11.0,2.0,5.0,13.0,14.0,2.0,2.0,1.0,0.0,2.0,2.0,47.0,53.0,4-3-3,3-4-1-2
4.0,7.0,8.0,1.0,6.0,5.0,4.0,7.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,27.0,73.0,3-4-3,4-2-3-1
3.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,12.0,17.0,1.0,3.0,0.0,0.0,2.0,0.0,58.0,42.0,4-4-2,3-5-1-1
15.0,0.0,0.0,4.0,11.0,3.0,11.0,3.0,11.0,12.0,0.0,2.0,0.0,1.0,6.0,0.0,75.0,25.0,4-3-3,4-5-1
4.0,3.0,2.0,1.0,6.0,2.0,6.0,7.0,21.0,12.0,5.0,0.0,0.0,0.0,1.0,2.0,37.0,63.0,4-3-3,4-1-4-1
6.0,0.0,2.0,2.0,11.0,4.0,7.0,7.0,7.0,11.0,0.0,2.0,0.0,0.0,3.0,0.0,59.0,41.0,4-2-3-1,5-4-1
3.0,6.0,0.0,1.0,4.0,8.0,7.0,3.0,14.0,13.0,1.0,1.0,0.0,0.0,1.0,2.0,63.0,37.0,4-3-3,4-3-3
12.0,1.0,0.0,3.0,15.0,0.0,12.0,2.0,18.0,10.0,1.0,2.0,0.0,1.0,6.0,0.0,74.0,26.0,4-3-3,3-5-1-1
8.0,7.0,0.0,1.0,4.0,6.0,2.0,5.0,13.0,16.0,5.0,3.0,0.0,0.0,2.0,2.0,45.0,55.0,4-3-3,4-2-3-1
